pressure_mpa,mixture_of,injector_dp_mpa,frequency_hz,label_risk_percent,label_delta_of,label_stability_margin,sample_rate_ksa,growth_rate
9.684,5.921,1.398,1118,7.8,0.000,93,48.02,0.002
9.691,5.919,1.401,1122,8.1,0.000,92,47.98,0.003
9.687,5.923,1.397,1116,7.6,0.000,94,48.05,-0.004
9.695,5.920,1.405,1127,8.4,0.000,92,48.01,0.006
9.700,5.918,1.409,1133,9.2,0.000,91,47.96,0.010
9.692,5.922,1.402,1124,8.0,0.000,93,48.03,-0.006
9.686,5.924,1.395,1111,7.3,0.000,95,48.08,-0.008
9.690,5.920,1.399,1119,7.9,0.000,94,47.94,0.001
9.698,5.917,1.406,1131,8.7,0.000,92,48.00,0.005
9.693,5.919,1.403,1125,8.2,0.000,93,48.07,-0.002
9.685,5.922,1.396,1114,7.5,0.000,95,47.99,-0.006
9.681,5.925,1.392,1109,7.1,0.000,96,48.04,-0.004
9.689,5.921,1.400,1117,7.8,0.000,94,47.97,0.003
9.696,5.918,1.407,1129,8.6,0.000,92,48.06,0.007
9.702,5.916,1.411,1137,9.5,0.000,91,48.01,0.011
9.697,5.919,1.406,1128,8.8,0.000,92,47.95,-0.003
9.688,5.923,1.398,1115,7.6,0.000,94,48.03,-0.007
9.683,5.924,1.394,1110,7.2,0.000,95,48.09,-0.004
9.691,5.920,1.401,1121,8.1,0.000,93,47.98,0.004
9.699,5.917,1.408,1134,9.0,0.000,92,48.02,0.008
9.694,5.919,1.404,1126,8.3,0.000,93,48.06,-0.002
9.686,5.923,1.397,1113,7.5,0.000,95,47.97,-0.007
9.682,5.925,1.393,1108,7.0,0.000,96,48.04,-0.005
9.690,5.921,1.400,1118,7.9,0.000,94,48.00,0.003
9.697,5.918,1.407,1130,8.7,0.000,92,47.96,0.006
9.701,5.917,1.410,1136,9.3,0.000,91,48.05,0.009
9.695,5.920,1.405,1127,8.5,0.000,93,48.01,-0.004
9.687,5.923,1.398,1115,7.7,0.000,94,47.99,-0.006
9.684,5.924,1.395,1111,7.3,0.000,95,48.07,-0.003
9.691,5.921,1.401,1120,8.0,0.000,94,48.03,0.002
